Date,SP500,iShares
5/2/2012,-0.007658872,-0.009465883
5/3/2012,-0.016147208,-0.022564702
5/4/2012,0.000350581,-0.003122892
5/7/2012,-0.004278673,-0.005040504
5/8/2012,-0.006702267,0.000547801
5/9/2012,0.002517411,-0.010673447
5/10/2012,-0.003387341,0.0008302
5/11/2012,-0.011112864,-0.010226922
5/14/2012,-0.005745838,-0.002792564
5/15/2012,-0.004403818,-0.009660923
5/16/2012,-0.015051376,-0.017672931
5/17/2012,-0.007387777,-0.012809246
5/18/2012,0.016035901,0.029012783
5/21/2012,0.000486337,-0.003967122
5/22/2012,0.001693703,0.001991743
5/23/2012,0.001380032,-0.011073577
5/24/2012,-0.002165633,-0.001004791
5/25/2012,0.011078978,0.013364064
5/29/2012,-0.014334892,-0.006381323
5/30/2012,-0.002276665,-0.005993926
5/31/2012,-0.024642585,-0.027997086
6/1/2012,0.000109554,0.002954197
6/4/2012,0.00572685,0.00839459
6/5/2012,0.023049401,0.02555861
6/6/2012,-0.000106465,-0.004984238
6/7/2012,0.008114164,0.010161689
6/8/2012,-0.012620113,-0.019977674
6/11/2012,0.011650737,0.012433431
6/12/2012,-0.007023251,-0.006425867
6/13/2012,0.010814653,0.000143876
6/14/2012,0.010337815,0.014944579
6/15/2012,0.001444746,0.006229755
6/18/2012,0.009815695,0.010049753
6/19/2012,-0.001686357,0.001953403
6/20/2012,-0.022261677,-0.027297883
6/21/2012,0.007174604,0.010595666
6/22/2012,-0.015954854,-0.022102563
6/25/2012,0.004772721,0.003332298
6/26/2012,0.008984906,0.006498258
6/27/2012,-0.0021098,-0.009325388
6/28/2012,0.024920239,0.031571052
6/29/2012,0.002459312,0.002667262
7/2/2012,0.006232111,0.009800766
7/3/2012,-0.004687023,0.002634807
7/5/2012,-0.009432649,-0.020052418
7/6/2012,-0.001638832,-0.003669212
7/9/2012,-0.008125926,-0.010339707
7/10/2012,-1.49239E-05,-0.006297579
7/11/2012,-0.004987097,-0.01238663
7/12/2012,0.016497362,0.014729513
7/13/2012,-0.002314313,-0.003880567
7/16/2012,0.007409672,0.000721638
7/17/2012,0.006680491,0.020616989
7/18/2012,0.0027171,0.0135614
7/19/2012,-0.01006166,-0.01337995
7/20/2012,-0.008909056,-0.010877318
7/23/2012,-0.009040933,-0.009425723
7/24/2012,-0.000313861,-0.007497357
7/25/2012,0.016540975,0.014090488
7/26/2012,0.019080565,0.02134395
7/27/2012,-0.00048336,-0.001823569
7/30/2012,-0.004316829,0.004917995
7/31/2012,-0.00289998,-0.004054648
8/1/2012,-0.007503669,-0.003650362
8/2/2012,0.019040286,0.020853697
8/3/2012,0.002329269,0.008558056
8/6/2012,0.005106759,0.009169489
8/7/2012,0.000620826,0.000542095
8/8/2012,0.000413685,0.005963838
8/9/2012,0.002188442,0.002424832
8/10/2012,-0.001251901,0.002150868
8/13/2012,-0.000128146,-0.003755396
8/14/2012,0.00113964,0.002423304
8/15/2012,0.007100511,0.015175671
8/16/2012,0.001872134,0.007408804
8/17/2012,-2.11746E-05,0.002626055
8/20/2012,-0.003497536,-0.005501099
8/21/2012,0.000226403,0.002107527
8/22/2012,-0.008072243,-0.009725552
8/23/2012,0.006454731,0.004247074
8/24/2012,-0.000489015,0.000528382
8/27/2012,-0.000808182,0.000528511
8/28/2012,0.000844349,0.001452051
8/29/2012,-0.007805805,-0.01265472
8/30/2012,0.005073296,0.006541996
8/31/2012,-0.001165959,0.000265328
9/4/2012,-0.001067661,-0.000663151
9/5/2012,0.020435541,0.023221823
